part_number,description,quantity,material,weight_kg,cost_USD,supplier,lead_time_weeks,manufacturing,notes
CHA-001,Chamber Inner Shell (Copper-Nickel),1,Copper-Nickel (GlidCop),2.5,150,Materion Precision Castings,6,Deep-draw + Honing,Ra 0.8 um surface finish required
CHA-002,Chamber Outer Reinforcement (Inconel 718),1,Inconel 718,1.8,220,Special Metals Corporation,8,Wrapping + Brazing,Creep-resistant; tested for 1300K
NOZ-001,Convergent Section (Cu-Ni),1,Copper-Nickel (GlidCop),0.6,80,Materion Precision Castings,6,CNC Turning + Honing,"Half-angle 45°, Ra 1.6 um"
NOZ-002,"Throat Section (Cu-Ni, Critical)",1,Copper-Nickel (GlidCop),0.2,120,Materion Precision Castings,8,Precision Grinding (Ra 0.4 um),Flow-control critical component
NOZ-003,Divergent Section (Cu-Ni + Inconel),1,Copper-Nickel + Inconel 718 composite,1.2,180,Welding Engineering Solutions,10,CNC Turning + Diffusion Bonding,Half-angle 15°; welded joint non-destructive tested
INJ-001,Injector Face Plate (Stainless 316L),1,Stainless 316L,0.3,75,Precision Machine Shop (Custom),4,CNC Milling + Precision Drilling + EDM,Orifices ±0.01mm tolerance; Ra 0.4 um on orifices
INJ-002,Fuel Manifold (Brass CW614N),1,Brass CW614N,0.15,40,Generic Brass Supplier,2,CNC Milling,Standard design
COOL-001,Cooling Jacket Assembly,1,Cu-Ni (inner) + Inconel 718 (outer),3.2,400,Heat Exchanger Manufacturer,12,Brazing + Pressure Testing,Tested to 1.5x design pressure
IGN-001,Tungsten Electrodes (W-2% Th),6,Tungsten-Thoriated,0.05,180,CWCO2 or Lanthanum Inc.,3,Precision Grinding,"Arc-stable, excellent thermal conductivity"
IGN-002,Ceramic Insulators (Al2O3),6,Aluminum Oxide,0.02,60,McDanel Advanced Ceramics,4,Injection Molding + Sintering,Thermal shock resistant
IGN-003,"HV Ignition Power Supply (3.5kV, 50kHz)",1,Electronic assembly,0.8,500,Custom High-Voltage Electronics,8,PCB Assembly + Potting,"EMI-hardened, IP67 rated"
HW-011,M12x2.0 SAE Grade 8.8 Bolts (Chamber mount),6,Various,0.06,15.0,McMaster,1,,
HW-012,M8x1.25 SAE Grade 5 Bolts (Injector),12,Various,0.12,14.399999999999999,McMaster,1,,
HW-013,Dowel Pins 8mm x 30mm (Alignment),4,Various,0.04,12.0,McMaster,1,,
HW-014,O-rings 90 Shore A Nitrile (Seals),20,Various,0.2,100.0,Parker Hannifin,1,,
HW-015,Sealant (Loctite 2701 Red),1,Various,0.01,15.0,Henkel,1,,
HW-016,High-temp RTV Silicone (Gaskets),2,Various,0.02,40.0,Dow Corning,1,,
